11688378,3,0
11688390,4,2
11688383,4,0
11688435,2,0
11688429,19,1
11688423,4,0
11688366,5,0
11688419,2,0
11688372,1,0
11688395,2,0
11688381,1,0
11688400,4,0
11688386,2,0
11688407,1,3
18856557,8,2
18856567,2,0
18856543,1,0
18856625,8,0
18856510,6,0
18856535,4,0
18856525,3,1
18856459,4,0
18856445,1,0
18856421,1,0
18856583,1,0
33294692,2,0
33294691,2,0
33294619,1,0
33294618,4,0
33294582,1,0
33294617,1,0
12495540,0,1
12495228,1,0
12495566,0,2
12494572,0,1
12494035,1,0
12493876,1,0
12493962,1,0
12494150,0,1
18622490,1,0
18622550,1,0
18622534,1,0
18622606,0,1
18622601,1,0
18622616,2,1
16479227,2,0
16479110,0,0
16479831,1,0
16479140,0,1
16478946,0,1
16479733,0,0
16478963,2,1
16479093,1,0
16479647,1,0
16478981,1,1
16479894,1,0
16479263,1,0
16478955,0,1
16479313,2,3
661692,0,1
661719,1,0
661693,1,0
661718,2,0
7908146,11,2
7907714,1,0
7907381,2,0
7907570,2,1
7907388,3,0
7907489,1,0
7907609,2,0
7907617,1,0
7907578,1,1
7907371,4,0
7907565,2,0
7908156,1,0
7907626,0,1
7907876,3,0
7907414,1,0
7907477,2,0
7907901,1,0
7907403,1,1
7908136,1,0
7907463,1,0
7908246,0,0
7907862,15,5
7907534,3,0
7907661,3,1
7908092,15,5
7907691,1,0
7908106,6,1
7409362,1,0
7408541,1,1
7408366,3,1
7408801,1,0
7408343,17,3
7408978,4,1
7408813,2,0
7408356,3,0
7408870,4,0
7408554,1,0
7408563,1,0
7408746,5,0
7408393,1,0
7409235,3,0
7408724,1,1
7408944,4,0
28428308,2,0
7408605,20,0
7408633,3,0
7408666,11,1
7408966,6,1
7408731,14,1
7409215,16,2
7409009,1,1
7408582,11,0
7408620,6,1
7408415,2,0
7409253,15,0
7408688,1,0
7408899,3,1
7408378,1,0
7408778,4,1
7408513,0,1
7408399,1,0
7408479,1,0
7409197,12,0
7408644,8,1
7408955,1,0
7409326,1,0
7408888,6,0
7408933,18,0
7408860,1,0
7408758,1,0
7408654,12,1
7408855,2,0
7408701,2,0
7408265,1,0
7408520,0,1
7408993,3,1
7409284,9,0
7408848,8,0
7408827,1,0
7408913,18,2
7409411,1,0
7408677,2,0
7409150,2,0
7408879,4,0
28428950,0,1
7408791,3,0
5708037,2,0
5708640,4,2
5707940,5,3
5707962,6,0
5708271,2,0
5707926,1,0
5708063,4,2
5708562,2,0
5708212,1,0
5708234,6,1
5708624,11,7
5708114,1,0
5708191,2,0
5707913,3,1
5707906,3,3
7879242,5,1
7879470,1,2
7879526,2,0
7879354,1,0
7879694,1,0
7879307,7,2
7879380,2,0
7879641,2,0
7879438,1,0
7879583,1,0
7879270,3,0
7879409,2,0
7879657,1,0
7879501,0,1
27062336,5,0
27062335,2,0
27062582,13,1
27062782,8,1
27062337,2,0
27063213,3,0
27062583,2,0
27062778,6,0
27062631,0,0
27063203,8,0
27062339,6,0
27062579,1,0
27063205,6,0
27062629,8,0
27063201,8,0
27063206,2,0
27062585,2,1
27063212,1,0
27062342,5,0
27062584,1,0
27062783,20,0
27062633,1,0
27062338,3,0
27063210,1,0
27062580,4,1
27062343,2,0
27062332,5,1
27062630,20,0
27063202,19,1
27062334,2,0
27063209,2,0
27062780,0,1
27062781,2,0
27063211,1,0
11306311,1,0
11306408,1,0
11306346,3,0
11306366,0,1
11306341,3,1
11306303,1,0
11306324,1,0
11306353,1,1
e7opb2gwpvlfmwdrscvlbp7r0,1,0
ew58m747hcfcply9b3e82p5bh,1,0
ead1zm5w80w1xibsrmzzpihcs,1,0
eymcaos9j9of6bfnah26fkbjk,1,0
edfbw92llsniv04oruxk6yqvi,7,1
egtdkf1iw1w371575jclti8fp,2,0
eps92x58736m756iw2v6fzh25,1,0
ee3al8uhgqdg16bsrln2v1n55,0,2
esb05ylyvd1rizppdhp8n4v1a,1,0
esws22d5cqrtpl1qyagii6gul,1,0
elqvhcanhqwtwlhrl66vzvyn3,3,0
e02qjv656hjie1v96zsyazu23,2,1
ewe1obcm2gc3xjn272m1rrbj1,16,4
enxy4vzcg3fcgavtu6gckh6xd,1,0
e413h6sgtxif8k66nh0mc7b3j,0,1
e8zie8yrff576qcgrvyq7rzhx,4,0
e7n00xt16t2thmpxpn1pgyfmh,2,0
enlv2k4srp9hrl1lhjrzeuo9v,4,0
e1a7d8r809yhb2llm8jt2czn2,8,1
10379956,0,1
10379926,1,0
10380204,0,1
10380296,7,1
10379854,1,0
10379949,12,4
10380543,0,0
10380740,2,1
10380261,11,5
